source_table,record_id,issue_type,original_value,corrected_value,action,reason
borrowers,BRW0010843,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0009521,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0008541,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0007683,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0004239,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0008597,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0002229,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0011190,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0010378,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0007362,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0003720,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0000638,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0010702,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0010437,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0007868,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0001779,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0004704,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0004506,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0009153,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0007362,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0000298,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0006972,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0009849,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0003806,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0011408,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0011423,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0008176,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0003834,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0010931,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0006601,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0010815,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0000441,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0011763,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0006481,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0008470,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0011413,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0002147,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0007934,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0000594,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0011926,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0000178,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0003803,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0001507,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0003309,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0000521,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0004068,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0005635,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0002986,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0004554,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0000686,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0005997,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0010362,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0002738,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0005337,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0009981,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0007513,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0007903,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0010395,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0007121,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0006497,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0011897,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0001065,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0005872,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0007659,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0001419,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0005065,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0005414,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0011160,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0003863,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0004571,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0000800,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0010927,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0001209,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0000839,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0003554,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0000414,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0000256,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0003288,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0011260,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0003234,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0005045,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0001189,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0010173,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0009556,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0007704,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0007467,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0011369,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0003190,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0002685,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0001959,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0007335,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0009600,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0004145,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0002096,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0003575,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0000201,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0007150,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0000862,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0000122,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0005341,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0001208,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0000860,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0000771,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0004092,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0007116,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0009436,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0004011,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0007075,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0006249,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0008984,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0008845,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0000177,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0003905,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0004267,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0002181,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0005218,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0000769,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0005666,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0004724,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0009014,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0008118,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0006689,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0010712,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0008425,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0003979,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0010773,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0005012,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0002410,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0004028,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0007325,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0001528,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0008694,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0008324,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0008230,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0004484,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0004719,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0006804,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0009912,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0006306,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0011890,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0010799,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0005932,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0007215,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0008979,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0000970,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0005098,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0010495,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0000426,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0005295,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0008541,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0003734,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0011454,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0005581,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0004175,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0000902,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0011236,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0000435,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0003733,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0002336,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0009636,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0010848,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0008826,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0001499,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0008813,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0011789,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0007968,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0000268,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0006934,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0004362,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0011080,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0000234,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0005440,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0006086,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0006222,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0009538,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0010145,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0007306,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0006617,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0002879,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0003480,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0004998,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0002023,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0008282,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0002484,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0004361,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0010454,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0007137,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
borrowers,BRW0008098,EXACT_DUPLICATE_ROW,Duplicate row,,REJECTED,Exact duplicate borrower row
